Script started on Tue Mar  3 22:47:14 2015
[?1034hbash-3.2$ java Pizzeria.class [K[K[K[K[K[K[K
Wartezeit für Erzeuger? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Wie viele Verbraucher? 1
Wartezeit für Verbraucher 1? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Pizzeria JAV02 hat geöffnet.
V1( 11sek):    9 |*********      |
E (  6sek):    8 |********       |
V1( 10sek):    9 |*********      |
E (  7sek):    8 |********       |
V1(  9sek):    9 |*********      |
E ( 13sek):    8 |********       |
V1(  6sek):    8 |********       |
V1(  1sek):    8 |********       |
V1(  1sek):    7 |*******        |
E (  9sek):    6 |******         |
V1(  9sek):    7 |*******        |
E (  9sek):    6 |******         |
V1(  8sek):    7 |*******        |
E (  5sek):    6 |******         |
E (  1sek):    7 |*******        |
E (  4sek):    8 |********       |
V1( 14sek):    9 |*********      |
V1(  5sek):    8 |********       |
E ( 14sek):    7 |*******        |
E (  3sek):    8 |********       |
V1( 12sek):    9 |*********      |
E (  5sek):    9 |*********      |
E (  4sek):    9 |*********      |
V1(  6sek):   10 |**********     |
E (  4sek):    9 |*********      |
V1(  3sek):   10 |**********     |
E ( 10sek):    9 |*********      |
V1( 10sek):    9 |*********      |
E (  1sek):    9 |*********      |
V1(  3sek):   10 |**********     |
V1(  1sek):    9 |*********      |
V1(  5sek):    8 |********       |
E ( 12sek):    7 |*******        |
V1( 12sek):    8 |********       |
E ( 10sek):    7 |*******        |
V1(  7sek):    8 |********       |
E (  5sek):    7 |*******        |
E (  3sek):    8 |********       |
V1( 12sek):    9 |*********      |
V1(  6sek):    8 |********       |
E ( 14sek):    7 |*******        |
E (  1sek):    8 |********       |
V1(  9sek):    9 |*********      |
E (  9sek):    8 |********       |
V1(  4sek):    9 |*********      |
E ( 13sek):    8 |********       |
V1( 11sek):    9 |*********      |
V1(  4sek):    8 |********       |
V1(  7sek):    7 |*******        |
E ( 14sek):    6 |******         |
E ( 12sek):    7 |*******        |
V1( 13sek):    7 |*******        |
E ( 10sek):    7 |*******        |
V1( 10sek):    7 |*******        |
E ( 10sek):    7 |*******        |
V1( 11sek):    8 |********       |
E (  9sek):    7 |*******        |
V1( 13sek):    8 |********       |
E (  9sek):    7 |*******        |
E (  2sek):    8 |********       |
V1( 12sek):    9 |*********      |
E ( 13sek):    8 |********       |
V1( 14sek):    9 |*********      |
E ( 11sek):    8 |********       |
E (  3sek):    9 |*********      |
